molecule,SMILES,PCE
Isopropyl-2F,CCCCC(CC)COc1c(-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2-c2c(C(C)C)cc(C(C)C)cc2C(C)C)sc2c(OCC(CC)CCCC)c(-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3-c3c(C(C)C)cc(C(C)C)cc3C(C)C)sc12,11.78 
IDT-ToFIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5cc(-c6ccc(CCCCCC)s6)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc(-c5ccc(CCCCCC)s5)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)sc2-4)cc1,10.84 
IDT-TiFIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5-c5ccc(CCCCCC)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3-c3ccc(CCCCCC)s3)sc2-4)cc1,9.37 
SSBR,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)sc2-c2sc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)cc21,8.16 
SSBRC,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)sc2-c2sc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)cc21,3.35 
IFIC,CCC#CC#CC#COc1ccc(C2(c3ccc(OC#CC#CC#CCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)o5)cc32)C(c2ccc(OC#CC#CC#CCC)cc2)(c2ccc(OC#CC#CC#CCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)o3)sc2-4)cc1,5.98 
IFIC-F,CCC#CC#CC#COc1ccc(C2(c3ccc(OC#CC#CC#CCC)c(F)c3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)o5)cc32)C(c2ccc(OC#CC#CC#CCC)c(F)c2)(c2ccc(OC#CC#CC#CCC)c(F)c2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)o3)sc2-4)cc1F,5.87 
IDST-4F,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2SCC(CC)CCCC)sc1-3,6.10 
ID-4F ,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3,14.00 
ATT-8,CCCCCCCCn1c(=C(C#N)C#N)s/c(=C\c2sc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4sc(/C=c6\sc(=C(C#N)C#N)n(CCCCCCCC)c6=O)c6sc(C(F)(F)F)cc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c3cc(C(F)(F)F)sc23)c1=O,7.25 
BDTI,CCC#CC#CC#COC(=O)c1cc2c(-c3cc4c(s3)-c3cc5c(cc3C(CC(CC)CCCC)(CC(CC)CCCC)O4)-c3sc(-c4sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)c6sc(C(=O)OC#CC#CC#CCC)cc46)cc3OC5(CC(CC)CCCC)CC(CC)CCCC)sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)c2s1,8.54 
BDTI-2F,CCC#CC#CC#COC(=O)c1cc2c(-c3cc4c(s3)-c3cc5c(cc3C(CC(CC)CCCC)(CC(CC)CCCC)O4)-c3sc(-c4sc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)c6sc(C(=O)OC#CC#CC#CCC)cc46)cc3OC5(CC(CC)CCCC)CC(CC)CCCC)sc(/C=C3\C(=O)c4ccc(F)cc4C3=C(C#N)C#N)c2s1,9.11 
BDTI-4F,CCC#CC#CC#COC(=O)c1cc2c(-c3cc4c(s3)-c3cc5c(cc3C(CC(CC)CCCC)(CC(CC)CCCC)O4)-c3sc(-c4sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c6sc(C(=O)OC#CC#CC#CCC)cc46)cc3OC5(CC(CC)CCCC)CC(CC)CCCC)sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)c2s1,7.96 
 TPD-Th1,CCCCCCCCN1C(=O)c2c(-c3ccc(/C=C4/SC(=S)N(CC)C4=O)s3)sc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4sc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)c6c4C(=O)N(CCCCCCCC)C6=O)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2C1=O,0.43 
TPD-Th3,CCCCCCCCN1C(=O)c2c(-c3ccc(/C=c4/sc(=C(C#N)C#N)n(CC)c4=O)s3)sc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4sc(-c6ccc(/C=c7/sc(=C(C#N)C#N)n(CC)c7=O)s6)c6c4C(=O)N(CCCCCCCC)C6=O)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2C1=O,5.57 
ITOTC ,CCCCCCCCc1c(/C=C2\C(=O)c3cscc3C2=C(C#N)C#N)sc2cc(-c3ccc4c(c3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4c(CCCCCCCC)c(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)sc34)sc12,7.92 
ITUTC,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cscc3C2=C(C#N)C#N)sc2cc(-c3ccc4c(c3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4c(CCCCCCCCCCC)c(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)sc34)sc12,7.36 
ITUIC,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2cc(-c3ccc4c(c3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4c(CCCCCCCCCCC)c(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)sc12,6.31 
IDIDT-C8 a,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2sc3c(c21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s2)ccc1-3,9.95 
BO-2F,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s3)c(OC)cc2-c2sc3c(c21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s2)c(OC)cc1-3,11.31 
BO-C8-2F,CCCCCCCCc1cc(-c2cc3c(cc2OC)-c2sc4c(c2C3(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c2cc(-c3cc(CCCCCCCC)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)c(OC)cc2-4)sc1/C=C1\C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,11.71 
BO-C2C6-C8-2F,CCCCCCCCc1cc(-c2cc3c(cc2OCC(CC)CCCC)-c2sc4c(c2C3(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c2cc(-c3cc(CCCCCCCC)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)c(OCC(CC)CCCC)cc2-4)sc1/C=C1\C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,14.05 
 IffBR,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5c(F)c(F)c(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3c(F)c(F)c(/C=C5\SC(=S)N(CC)C5=O)c5nsnc35)sc2-4)cc1,6.24 
DTNR,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)sc2-c2c1ccc1c3c(ccc21)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,9.23 
 IHIC-N,CCCCCCCCC1(CCCCCCCC)c2cc3cc4c(cc3cc2-c2sc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc1-4,6.59 
NSTI,CCCCCCCC[Si]1(CCCCCCCC)C2=C(c3cc(F)c(-c4sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c5cc(CC(CC)CCCC)sc45)cc31)[Si](CCCCCCCC)(CCCCCCCC)c1cc(-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c4cc(CC(CC)CCCC)sc34)c(F)cc12,10.33 
IE4F-S,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5scc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c5SCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3scc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c3SCC(CC)CCCC)sc2-4)cc1,13.98 
ITBTR-C2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(/C=c7\sc(=C(C#N)C#N)n(CC)c7=O)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)sc23)cc1,6.96 
ITBTR-C4,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(/C=c7\sc(=C(C#N)C#N)n(CCCC)c7=O)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CCCC)c5=O)c5nsnc45)sc23)cc1,7.33 
ITBTR-C6,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(/C=c7\sc(=C(C#N)C#N)n(CCCCCC)c7=O)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(/C=c5\sc(=C(C#N)C#N)n(CCCCCC)c5=O)c5nsnc45)sc23)cc1,8.18 
ITBTR-C8,CCCCCCCCn1c(=C(C#N)C#N)s/c(=C\c2ccc(-c3cc4sc5c(c4s3)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3cc4c(cc3-5)C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c3c-4sc4cc(-c5ccc(/C=c6\sc(=C(C#N)C#N)n(CCCCCCCC)c6=O)c6nsnc56)sc34)c3nsnc23)c1=O,7.85 
 DTP-out-F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc(-c4cc(F)c(-c5cc6c(s5)-c5sc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)cc5OC6(c5ccc(CCCCCC)cc5)c5ccc(CCCCCC)cc5)cc4F)cc32)cc1,3.71 
 DTP-in-F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(-c4cc(F)c(-c5cc6c(s5)-c5sc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)cc5C(c5ccc(CCCCCC)cc5)(c5ccc(CCCCCC)cc5)O6)cc4F)sc3-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc32)cc1,10.42 
CDTDI ,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)sc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,2.54 
ITDI ,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s4)s3)ccc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,7.82 
IDTC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)cc5CC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)cc3CC(CC)CCCC)sc2-4)cc1,9.04 
IDTO,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,9.68 
 IFBR-p,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5c(F)cc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3c(F)cc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc35)sc2-4)cc1,7.30 
 IFBR-d,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5cc(F)c(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc(F)c(/C=C5\SC(=S)N(CC)C5=O)c5nsnc35)sc2-4)cc1,5.20 
 IDT-FBTR,CCCCCCCCn1c(=C(C#N)C#N)s/c(=C/c2ccc(-c3c(F)cc(-c4cc5c(s4)-c4cc6c(cc4C5(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)-c4sc(-c5cc(F)c(-c7ccc(/C=c8/sc(=C(C#N)C#N)n(CCCCCCCC)c8=O)s7)c7nsnc57)cc4C6(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c4nsnc34)s2)c1=O,9.14 
IDT-ToFIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5cc(-c6ccc(CCCCCC)s6)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc(-c5ccc(CCCCCC)s5)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)sc2-4)cc1,10.84 
IDT-TiFIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5-c5ccc(CCCCCC)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3-c3ccc(CCCCCC)s3)sc2-4)cc1,9.37 
JC1,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4c5cc(C(=O)OCC)sc5c(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2c4cc(C(=O)OCC)sc4c(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc24)sc1-3,2.69 
JC2,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4c5cc(C(=O)OCC)sc5c(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nn(CC(CC)CCCC)nc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2c4cc(C(=O)OCC)sc4c(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nn(CC(CC)CCCC)nc24)sc1-3,6.00 
ATT-1,CCC#CC#CC#COC(=O)c1cc2c(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4sc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6sc(C(=O)OC#CC#CC#CCC)cc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)sc(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)c2s1,9.89 
ATT-4,CCC#CC#CC#COC(=O)c1cc2c(-c3cc4c(s3)-c3cc5c(cc3C4(CCCCCC)CCCCCC)-c3sc(-c4sc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6sc(C(=O)OC#CC#CC#CCC)cc46)cc3C5(CCCCCC)CCCCCC)sc(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)c2s1,10.92 
ATT-5,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(-c4sc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5sc(C(=O)OCC(CC)CCCC)cc45)cc21)C(CCCCCC)(CCCCCC)c1cc(-c2sc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4sc(C(=O)OCC(CC)CCCC)cc24)sc1-3,11.97 
TTz3,CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(C=C(C#N)C#N)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(C=C(C#N)C#N)c5nsnc45)cc3OCC(CCCCCC)CCCCCCCC)nc2s1,8.48 
TTz4 ,CCCCCCCCC(CCCCCC)CSc1cc(-c2ccc(C=C(C#N)C#N)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(C=C(C#N)C#N)c5nsnc45)cc3SCC(CCCCCC)CCCCCCCC)nc2s1,8.05 
Ph-DTDPo -OT,CCC#CC#COc1cc(-c2cc3c(s2)-c2cc4c(cc2C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)O3)-c2sc(-c3cc(OC#CC#CCC)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)sc1/C=C1\C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,7.33 
Ph-DTDPi -OT,CCC#CC#COc1cc(-c2cc3c(s2)-c2cc4c(cc2OC3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(-c3cc(OC#CC#CCC)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)cc2C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)O4)sc1/C=C1\C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,11.05 
FBDIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,11.80 
p-IO1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5CC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,10.34 
o-IO1,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc4CC(CC)CCCC)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2OCC(CC)CCCC)sc1-3,12.57 
p-IO2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,10.24 
o-IO2,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc4OCC(CC)CCCC)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2OCC(CC)CCCC)sc1-3,9.14 
Ph-DTDP-IC ,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3cc4c(cc32)-c2sc(/C=C3\C(=O)c5ccccc5C3=C(C#N)C#N)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,7.50 
Ph-DTDP-TIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(-c4ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s4)sc3-c3cc4c(cc32)-c2sc(-c3ccc(/C=C5/C(=O)c6ccccc6C5=C(C#N)C#N)s3)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,8.88 
Ph-DTDP-TTIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3cc(-c4cc5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5s4)sc3-c3cc4c(cc32)-c2sc(-c3cc5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5s3)cc2OC4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,3.86 
IOTIC-2F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,11.60 
ITOTIC-2F ,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6sc(/C=C7\C(=O)c8ccc(F)cc8C7=C(C#N)C#N)cc6OCC(CC)CCCC)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc4OCC(CC)CCCC)sc23)cc1,3.30 
SFBRCN,CCC#CC#CC#COc1ccc2c(c1)-c1cc(OC#CC#CC#CCC)ccc1C21c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)cc21,10.12 
 DC-IDT2T,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)sc2-4)cc1,3.72 
IDT-2BR,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc35)sc2-4)cc1,5.04 
IDT–2BM,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C=C(C#N)C#N)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C=C(C#N)C#N)c5nsnc35)sc2-4)cc1,4.26 
IDTT–2BM,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(C=C(C#N)C#N)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(C=C(C#N)C#N)c5nsnc45)sc23)cc1,4.81 
 NFTI,CCCCCCCCc1cc2c(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc(-c3ccc4c(c3)C(CCCCCCCC)(CCCCCCCC)c3cc(-c5sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)c6cc(CCCCCCCC)sc56)ccc3-4)c2s1,8.14 
TP21,CCCCCCCCC1(CCCCCCCC)c2cc(-c3sc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)ccc2-c2ccc(-c3sc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc21,5.81 
