acceptor,n_smiles,donor,p_smiles,pce
BTA5,CCCCCCCCn1nc2c(/C=c3\sc(=C(C#N)C#N)n(Cc4ccccc4)c3=O)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(Cc7ccccc7)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,J52-F,FC1=C(C2=CC=C(C)S2)C3=NN(CC(CCCCCCCC)CCCCCC)N=C3C(C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC(F)=C(S8)CC(CC)CCCC)=C6S5)C=C(C)S7)C9=CC(F)=C(S9)CC(CC)CCCC)=C1F,11.27
ITCT,CCCCCCc1ccc(C2(c3c(c(s4)c2c5c4cc(/C=C6C(C7=CSC=C7C\6=C(C#N)/C#N)=O)s5)cc(C(c8ccc(CCCCCC)cc8)(c(c9s%10)c%11c%10cc(/C=C%12C(C%13=CSC=C%13C\%12=C(C#N)/C#N)=O)s%11)c%14ccc(CCCCCC)cc%14)c9c3)c%15ccc(CCCCCC)cc%15)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.27
TSeIC-P-Cl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(Cl)ccc7C6=C(C#N)C#N)[se]c5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)ccc5C4=C(C#N)C#N)[se]c23)cc1,PBT1-C,O=C(C1=C(SC(CC(CCCC)CC)=C12)CC(CCCC)CC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC=C(CC(CCCC)CCCCCC)C=C8)C(SC(C)=C9)=C9C(C%10=CC=C(CC(CCCC)CCCCCC)C=C%10)=C7S6)S5)=C3C2=O,11.26
DBTTC,CCCCCCC(CCCC)Cc1ccc(C2(c3ccc(CC(CCCC)CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)cc32)sc2cc3c(cc24)C(c2ccc(CC(CCCC)CCCCCC)cc2)(c2ccc(CC(CCCC)CCCCCC)cc2)c2cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc2-3)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.25
UF-C8-2F,CCCCCCCCOc1cc(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(CC(CC)CCCC)CC(CC)CCCC)c(OCCCCCCCC)cc1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc1C2(CC(CC)CCCC)CC(CC)CCCC,J52,CC1=CC2=C(C3=C(C(C4=CC=C(S4)CC(CC)CCCC)=C2S1)C=C(S3)C5=CC=C(S5)C6=C(C(F)=C(C7=NN(N=C67)CC(CCCCCC)CCCCCCCC)C8=CC=C(S8)C)F)C9=CC=C(S9)CC(CC)CCCC,11.24
BTC6-4F,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3C4(CC(CC)CCCC)CC(CC)CCCC)c(F)c(F)c(-c3cc4c(s3)-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3C4(CC(CC)CCCC)CC(CC)CCCC)c2n1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.23
IDT6CN-M,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6ccc(C)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(C)cc5C4=C(C#N)C#N)sc23)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.23
o-DOC8-2F,CCCCCCCCOc1c(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(CC(CC)CCCC)CC(CC)CCCC)ccc(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(CC(CC)CCCC)CC(CC)CCCC)c1OCCCCCCCC,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.23
ATT-4,CCC#CC#CC#COC(=O)c1cc2c(-c3cc4c(s3)-c3cc5c(cc3C4(CCCCCC)CCCCCC)-c3sc(-c4sc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6sc(C(=O)OC#CC#CC#CCC)cc46)cc3C5(CCCCCC)CCCCCC)sc(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)c2s1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.22
BTP-2V-2F,CCCCCCCCCCCc1c(/C=C/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,PCE10,O=C(C1=C(C2=C(SC(C)=C2S1)C3=CC4=C(C5=C(C(C6=CC=C(S6)CC(CC)CCCC)=C4S3)C=C(S5)C)C7=CC=C(S7)CC(CC)CCCC)F)OCC(CC)CCCC,11.22
ITIC-2Cl-β ,O=C(C1=C(Cl)C=CC=C1C/2=C(C#N)\C#N)C2=C/C3=CSC4=C3SC5=C4C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C5C=C9C(C(S%10)=C(C9(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C%10C(/C=C%14C(C%15=C(Cl)C=CC=C%15C\%14=C(C#N)/C#N)=O)=CS%13)=C8,PBDB-T2F,O=C(C1=C(SC(C2=CC=C(C)S2)=C13)C4=CC=C(C5=CC6=C(C7=CC(F)=C(CC(CCCC)CC)S7)C(SC(C)=C8)=C8C(C9=CC(F)=C(CC(CCCC)CC)S9)=C6S5)S4)C%10=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%10C3=O,11.21
BT-BO-L4F,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc4cc(F)c(F)cc4cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc9cc(F)c(F)cc9cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.2
CBT-IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(CCCCCC)c5c6c(sc5c(CCCCCC)c4c32)-c2sc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,J71,CC1=CC=C(S1)C2=C(C(F)=C(C3=NN(N=C23)CC(CCCCCCCC)CCCCCC)C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC=C(S8)[Si](CCC)(CCC)CCC)=C6S5)C=C(S7)C)C9=CC=C(S9)[Si](CCC)(CCC)CCC)F,11.2
F11,[HH]N1C(C2=C(S3)C4=C(S2)/C(C5=C4C=CC=C5)=C(C#N)\C#N)=C3C6=C1C(N7[HH])=C(C8=C7C9=C(S8)C%10=C(S9)/C(C%11=C%10C=CC=C%11)=C(C#N)/C#N)C%12=NSN=C%126,D18,FC1=C(CC(CCCC)CCCC)SC(C2=C3SC(C)=CC3=C(C4=CC(F)=C(CC(CCCC)CC)S4)C5=C2C=C(C6=C(CC(CCCC)CCCCCC)C=C(C7=CC(C8=NSN=C8C9=C%10SC(C%11=CC(CC(CCCCCC)CCCC)=C(C)S%11)=C9)=C%10S7)S6)S5)=C1,11.2
FUIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3c4c(sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc3cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc3c2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,PTB7-Th,CCCCC(COC(C1=C(C2=C(SC(C3=CC4=C(C5=C(C(C6=CC=C(S6)CC(CCCC)CC)=C4S3)C=C(S5)C)C7=CC=C(S7)CC(CCCC)CC)=C2S1)C)F)=O)CC,11.2
IDTTIC,CCCCCCCCCCCCCCCCC1(CCCCCCCCCCCCCCCC)c2cc3c(cc2-c2sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc4c21)C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)c1c-3sc2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc12,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.2
ITC6-2F,C/C=C1C(C2=CC=CC=C2C\1=C(C#N)/C#N)=O.CF,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.2
IUIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5c6c(sc5c32)-c2sc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c4c(sc23)-c2sc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,PTB7-Th,CCCCC(COC(C1=C(C2=C(SC(C3=CC4=C(C5=C(C(C6=CC=C(S6)CC(CCCC)CC)=C4S3)C=C(S5)C)C7=CC=C(S7)CC(CCCC)CC)=C2S1)C)F)=O)CC,11.2
IDT2Se-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)[se]5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)[se]3)sc2-4)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.19
IDTT-OB,CCCCCCCCC1(c2ccc(CCCCCC)cc2)c2cc3c(cc2-c2sc4cc(/C=C5\C(=O)c6ccc(C)cc6C5=C(C#N)C#N)sc4c21)C(CCCCCCCC)(c1ccc(CCCCCC)cc1)c1c-3sc2cc(/C=C3\C(=O)c4ccc(C)cc4C3=C(C#N)C#N)sc12,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.19
H2FCN-C16,CCCCCCCCC(CCCCCC)Cn1c2cc3c(cc2c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5cc(F)c(F)cc5C2=C(C#N)C#N)cc1C4(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3,J71,CC1=CC=C(S1)C2=C(C(F)=C(C3=NN(N=C23)CC(CCCCCCCC)CCCCCC)C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC=C(S8)[Si](CCC)(CCC)CCC)=C6S5)C=C(S7)C)C9=CC=C(S9)[Si](CCC)(CCC)CCC)F,11.18
J52-OMe,CC1=CC(C(C2=CC(OC)=C(CC(CCCC)CC)S2)=C(SC(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NN(CC(CCCCCCCC)CCCCCCCC)N=C64)S3)=C7)C7=C8C9=CC(OC)=C(CC(CC)CCCC)S9)=C8S1,JC2,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4c5cc(C(=O)OCC)sc5c(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)c5nn(CC(CC)CCCC)nc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2c4cc(C(=O)OCC)sc4c(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nn(CC(CC)CCCC)nc24)sc1-3,11.18
BTP-CC,CCCCCCCCC(CN1C2=C(C3=NSN=C3C4=C2N(CC(CCCCCC)CCCCCCCC)C5=C4SC6=C5SC(/C=C7/C(C8SC=CC8C7=O)=C(C#N)/C#N)=C6CCCCCCCCCCC)C(S9)=C1C%10=C9C(CCCCCCCCCCC)=C(/C=C%11/C(C%12SC=CC%12C%11=O)=C(C#N)/C#N)S%10)CCCCCC,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.17
Isopropyl-2F,CCCCC(CC)COc1c(-c2sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc2-c2c(C(C)C)cc(C(C)C)cc2C(C)C)sc2c(OCC(CC)CCCC)c(-c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3-c3c(C(C)C)cc(C(C)C)cc3C(C)C)sc12,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.16
M2,CCCCC(CC)COc1c2sc3c4sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc4n(CC(CC)CCCC)c3c2c(OCC(CC)CCCC)c2sc3c4sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc4n(CC(CC)CCCC)c3c12,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,11.16
BTIC-4Cl,CCCCCCCCCCCc1c2sc(c(c(nsn3)c3c4c5n(CC(CCCC)CC)c6c4sc7c6sc(/C=C8C(c9c(C\8=C(C#N)/C#N)cc(Cl)c(Cl)c9)=O)c7CCCCCCCCCCC)c5n%10CC(CCCC)CC)c%10c2sc1/C=C%11C(c%12c(C\%11=C(C#N)/C#N)cc(Cl)c(Cl)c%12)=O,PBDB-TF,O=C(C1=C(SC(CCCCCCCC)=C12)CCCCCCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CCCCCCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CCCCCCCC)S%10)=C7S6)S5)=C3C2=O,11.14
F7TC-2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc3-c3sc4c(OC)c5c6c(sc5c(OC)c4c32)-c2sc(/C=C3\C(=O)c4cscc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,J71,CC1=CC=C(S1)C2=C(C(F)=C(C3=NN(N=C23)CC(CCCCCCCC)CCCCCC)C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC=C(S8)[Si](CCC)(CCC)CCC)=C6S5)C=C(S7)C)C9=CC=C(S9)[Si](CCC)(CCC)CCC)F,11.14
SM16,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc4c(cc3C2=C(C#N)C#N)C2C3C=CC(C3)C42)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc9c(cc8C7=C(C#N)C#N)C7C8C=CC(C8)C97)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.14
IT-DM,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(C)c(C)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(C)c(C)cc5C4=C(C#N)C#N)sc23)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.13
ITIC-Cl-δ-Th,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(Cl)cc5C4=C(C#N)C#N)sc23)cc1,PBDB-TF,O=C(C1=C(SC(CCCCCCCC)=C12)CCCCCCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CCCCCCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CCCCCCCC)S%10)=C7S6)S5)=C3C2=O,11.13
TSeIC4Cl,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)\C#N)C2=C/C([Se]3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10[Se]C(/C=C%11C(C(C=C(Cl)C(Cl)=C%12)=C%12C\%11=C(C#N)/C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,11.13
DOC2C6-IC,CCCCC(COc1c(c2sc(c3c(C4(CC(CC)CCCC)CC(CCCC)CC)cc(/C=C5C(c6c(C\5=C(C#N)/C#N)cccc6)=O)s3)c4c2)cc(OCC(CCCC)CC)c(c7sc(c8c(C9(CC(CCCC)CC)CC(CCCC)CC)cc(/C=C%10C(c%11c(C\%10=C(C#N)/C#N)cccc%11)=O)s8)c9c7)c1)CC,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.1
IDIC-4F,CCCCCCC1(c2c(c3c1cc(/C=C4C(c5c(C\4=C(C#N)/C#N)cc(F)c(F)c5)=O)s3)cc(C(CCCCCC)(c6c7sc(/C=C8C(c9c(C\8=C(C#N)/C#N)cc(F)c(F)c9)=O)c6)CCCCCC)c7c2)CCCCCC,PTQ10,CC(C1=NC(OCC(CCCCCC)CCCCCCCC)=CN=C1C(C2=CC=C(C)S2)=C3F)=C3F,11.1
IOIC4,CCCCCCOc1ccc(C2(c3ccc(OCCCCCC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3sc4c(c(CCCCCC)cc5c4cc(CCCCCC)c4c6c(sc45)-c4sc(/C=C5\C(=O)c7cc(F)c(F)cc7C5=C(C#N)C#N)cc4C6(c4ccc(OCCCCCC)cc4)c4ccc(OCCCCCC)cc4)c32)cc1,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,11.1
NITI-BO,O=C(C/1=C\C2=C3C=C(SC3=C(C4=CC5=C(C6=C(C5(CC(CCCC)CCCCCC)CC(CCCCCC)CCCC)C7=C(C6(CC(CCCCCC)CCCC)CC(CCCCCC)CCCC)C=C(C8=C9C(C=C(S9)CCCCCCCC)=C(S8)/C=C%10C(C%11=C(C\%10=C(C#N)\C#N)C=C(F)C(F)=C%11)=O)C=C7)C=C4)S2)CCCCCCCC)C%12=C(C1=C(C#N)\C#N)C=C(F)C(F)=C%12,BRT,CCCCCCN1C(/C(SC1=S)=C\C2=CC=C(S2)C3=C(C=C(S3)C4=C(C=C(S4)C5=CC6=C(C(C7=CC(CCCCCC)=C(S7)CC(CCCC)CC)=C8C=C(SC8=C6C9=CC(CCCCCC)=C(S9)CC(CCCC)CC)C%10=CC(CCCCCC)=C(S%10)C%11=CC(CCCCCC)=C(S%11)C%12=CC=C(S%12)/C=C%13SC(N(C/%13=O)CCCCCC)=S)S5)CCCCCC)CCCCCC)=O,11.1
IDT-ToFIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5cc(-c6ccc(CCCCCC)s6)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc(-c5ccc(CCCCCC)s5)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)sc2-4)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.09
"BTP-(Br,Me)-2",CCCCCCCCCCCc1c(/C=C2\C(=O)c3c(ccc(C)c3Br)C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8c(ccc(C)c8Br)C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,11.08
IDT-PDOT-C6,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c6c5OCC(CCCCCC)(CCCCCC)CO6)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c5c3OCC(CCCCCC)(CCCCCC)CO5)sc2-4)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,11.08
