n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C5C(C(N(CCCCCCCC)C5=O)=O)=C(/C=C6C(C(C=CC=C7)=C7C\6=C(C#N)\C#N)=O)S4)=C2)(C8=CC=C(CCCCCC)C=C8)C9=C3C=C(C(C%10=C%11SC(C%12=C%13C(C(N(CCCCCCCC)C%13=O)=O)=C(/C=C%14/C(C%15=C(C%14=O)C=CC=C%15)=C(C#N)/C#N)S%12)=C%10)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C9,10.4,10.4,18.2,0.63,0.91,1.46,1842.5,5.6,4.14
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C5C(SC(C(OCC(CC)CCCC)=O)=C5F)=C(/C=C6C(C(C=C(F)C(F)=C7)=C7C\6=C(C#N)\C#N)=O)S4)=C2)(C8=CC=C(CCCCCC)C=C8)C9=C3C=C(C(C%10=C%11SC(C%12=C%13C(SC(C(OCC(CCCC)CC)=O)=C%13F)=C(/C=C%14/C(C%15=C(C%14=O)C=C(F)C(F)=C%15)=C(C#N)/C#N)S%12)=C%10)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C9,9.43,9.23,22.0,0.7,0.61,1.31,2012.59,5.31,4.0
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C5C(SC(C(OCC(CC)CCCC)=O)=C5F)=C(/C=C6C(C(C=C(F)C=C7)=C7C\6=C(C#N)\C#N)=O)S4)=C2)(C8=CC=C(CCCCCC)C=C8)C9=C3C=C(C(C%10=C%11SC(C%12=C%13C(SC(C(OCC(CCCC)CC)=O)=C%13F)=C(/C=C%14/C(C%15=C(C%14=O)C=C(F)C=C%15)=C(C#N)/C#N)S%12)=C%10)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C9,10.87,10.65,24.85,0.67,0.65,1.38,1976.61,5.34,3.96
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C5C(SC(C(OCC(CC)CCCC)=O)=C5F)=C(/C=C6C(C(C=CC(F)=C7)=C7C\6=C(C#N)\C#N)=O)S4)=C2)(C8=CC=C(CCCCCC)C=C8)C9=C3C=C(C(C%10=C%11SC(C%12=C%13C(SC(C(OCC(CCCC)CC)=O)=C%13F)=C(/C=C%14/C(C%15=C(C%14=O)C=CC(F)=C%15)=C(C#N)/C#N)S%12)=C%10)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C9,7.01,6.86,18.57,0.62,0.61,1.35,1976.61,5.36,4.01
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C5C(SC(C(OCC(CC)CCCC)=O)=C5F)=C(/C=C6C(C(C=CC=C7)=C7C\6=C(C#N)\C#N)=O)S4)=C2)(C8=CC=C(CCCCCC)C=C8)C9=C3C=C(C(C%10=C%11SC(C%12=C%13C(SC(C(OCC(CCCC)CC)=O)=C%13F)=C(/C=C%14/C(C%15=C(C%14=O)C=CC=C%15)=C(C#N)/C#N)S%12)=C%10)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C9,9.82,9.67,20.95,0.65,0.72,1.51,1940.63,5.42,3.91
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC(C5=CC=C(/C=C6C(C(C=CC=C7)=C7C\6=C(C#N)\C#N)=O)S5)=C(C8=CC=C(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S8)S4)=C2)(C%11=CC=C(CCCCCC)C=C%11)C%12=C3C=C(C(C%13=C%14SC(C%15=CC(C%16=CC=C(/C=C%17C(C(C=CC=C%18)=C%18C\%17=C(C#N)\C#N)=O)S%16)=C(C%19=CC=C(/C=C%20C(C(C=CC=C%21)=C%21C\%20=C(C#N)\C#N)=O)S%19)S%15)=C%13)(C%22=CC=C(CCCCCC)C=C%22)C%23=CC=C(CCCCCC)C=C%23)C%14=C%12,7.54,7.41,13.03,0.622,0.93,1.9,2216.89,5.43,3.53
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC5=C(C=C(/C=C6C(C(C=C(F)C(F)=C7)=C7C\6=C(C#N)\C#N)=O)S5)S4)=C2OCCCCCCCC)(C8=CC=C(CCCCCC)C=C8)C9=C3C=C(C(C%10=C%11SC(C%12=CC%13=C(C=C(/C=C%14/C(C(C=C%15F)=C(C%14=O)C=C%15F)=C(C#N)/C#N)S%13)S%12)=C%10OCCCCCCCC)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C9,10.21,10.21,17.21,0.694,0.856,1.5,1920.59,5.39,3.89
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5/C(C6=C(C5=O)C=CC(F)=C6)=C(C#N)/C#N)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12C(C(C=CC(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)S%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,10.71,10.58,16.57,0.671,0.933,1.51,1516.01,5.5,3.99
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2OCCCCCCCC)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)S%11)=C9OCCCCCCCC)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,12.62,12.62,20.12,0.727,0.864,1.61,1808.42,5.49,3.88
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)[Se]4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)/C#N)[Se]%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,11.19,11.03,21.35,0.654,0.79,1.51,1645.79,5.51,4.0
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)[Se]4)=C2OCCCCCCCC)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)[Se]%11)=C9OCCCCCCCC)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,10.67,10.67,18.55,0.692,0.831,1.58,1902.22,5.48,3.9
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)[Se]4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)[Se]%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,9.36,9.11,17.31,0.598,0.88,1.54,1573.83,5.41,3.87
