p(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV).1,Mw (kg/mol),Mn(kg/mol),PDI,HOMO_n(eV).1,'-LUMO_n(eV).1
CC(SC1=C2C3=CC(CCCCCCCC)=C(CCCCCCCC)S3)=CC1=C(C4=CC(CCCCCCCC)=C(CCCCCCCC)S4)C5=C2C=C(S5)C6=CC(CCCCCC)=C(C7=NC(SC(C8=C(CCCCCC)C=C(C)S8)=N9)=C9S7)S6,9.28,8.96,15.18,0.664,0.92,2.5,56.3,24.3,2.31,5.43,2.93
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CC(CC)CCCC)C=C(C7=NC8=C(N=C(C9=CC(CC(CC)CCCC)=C(C)S9)S8)S7)S6)S5,10.1,9.78,16.26,0.65,0.93,1.87,38.9,11.8,3.3,5.45,3.58
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CC(CCCC)CCCCCC)C=C(C7=NC8=C(N=C(C9=CC(CC(CCCC)CCCCCC)=C(C)S9)S8)S7)S6)S5,3.97,3.67,7.81,0.51,0.95,1.92,20.2,8.8,2.3,5.47,3.55
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CC(CCCCCC)CCCCCCCC)C=C(C7=NC8=C(N=C(C9=CC(CC(CCCCCC)CCCCCCCC)=C(C)S9)S8)S7)S6)S5,2.34,2.24,5.8,0.38,0.97,1.95,15.4,8.1,1.9,5.49,3.54
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CCCCCC)C=C(C7=NC8=C(N=C(C9=CC(CCCCCC)=C(C)S9)S8)S7)S6)S5,2.15,2.08,6.59,0.41,0.77,1.9,5.3,3.5,1.5,5.29,3.39
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(Cl)C(C)=C(C)S6)S5,10.2,10.0,20.3,0.561,0.899,2.02,34.3,21.9,1.57,5.7,3.68
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,6.63,6.46,9.89,0.59,1.14,2.18,76.3,50.4,1.51,5.76,3.58
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C(C7=NN(CCC(CC)CCCC)N=C87)=C(C(N9CCCCCCCC)=O)C(C9=O)=C8C%10=CC=C(C)S%10)S6,15.06,14.96,25.7,0.727,0.79,2.33,50.0,25.0,2.0,5.46,3.13
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCCCC)CCCCCCCC)N=C97)S6,7.8,7.8,15.55,0.652,0.77,1.89,45.9,26.1,1.76,5.47,3.58
CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,15.4,15.1,24.2,0.728,0.875,1.97,44.9,25.5,1.76,5.513636363636364,3.571363636363636
CC(SC1=C2C3=CC(Cl)=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(SCC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,5.82,5.49,9.75,0.54,1.1,2.18,102.8,59.5,1.73,5.82,3.64
CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CC(CCCC)CCCCCC)C=C(C7=CC8=C(C(SC(C9=CC(CC(CCCC)CCCCCC)=C(C)S9)=C%10)=C%10C%11=NSN=C%118)S7)S6)S5,18.22,18.22,27.7,0.766,0.859,2.74,109.3,72.4,1.51,5.51,2.77
